Album,Artist,Price,Image URL
Soundtrack - The Empire Strikes Back (Symphonic Suite From The Original Motion Picture Score) Exclusive LP,John Williams,$55.99,//www.newburycomics.com/cdn/shop/products/Charles-Gerhardt-The-Empire-Strikes-Back-Exclusive-Color-Vinyl-LP-2517820_large.jpg?v=1629824478
Lifeforms Exclusive LP,Angels & Airwaves,$17.99,//www.newburycomics.com/cdn/shop/products/Angels-and-Airwaves-Lifeforms-Exclusive-Color-Vinyl-LP-2526236_0a805cd3-77ec-41d5-bdb0-adfccb30b487_large.jpg?v=1623762981
Czarface Meets Metal Face Exclusive LP,Czarface / MF Doom,$59.99,//www.newburycomics.com/cdn/shop/products/Czarface-MF-Doom-Czarface-Meets-Metal-Face-Exclusive-Color-Vinyl-LP-2517530_large.jpg?v=1620074887
Soundtrack - Dark Nights: Death Metal Exclusive 2LP,Various Artists,$19.99,//www.newburycomics.com/cdn/shop/products/Various-Artists-Dark-Nights-Death-Metal-Exclusive-Color-Vinyl-LP-2520813_large.jpg?v=1621019664
If I Should Fall From Grace With God Exclusive LP (Green),The Pogues,$31.99,//www.newburycomics.com/cdn/shop/products/The-Pogues-If-I-Should-Fall-From-Grace-With-God-Exclusive-Color-Vinyl-LP-2510865_large.jpg?v=1632243877
Salad Days Exclusive LP (Lemonade),Mac DeMarco,$89.99,//www.newburycomics.com/cdn/shop/products/Mac-DeMarco-Salad-Days-Exclusive-Color-Vinyl-LP-2485323_large.jpg?v=1612389737
"i,i Exclusive LP",Bon Iver,$39.99,//www.newburycomics.com/cdn/shop/products/Bon-Iver-I-I-Exclusive-Color-Vinyl-LP-2428128_large.jpg?v=1574694374
Melt My Eyez Exclusive LP,Denzel Curry,$35.99,//www.newburycomics.com/cdn/shop/products/Denzel-Curry-Melt-My-Eyez-Exclusive-Color-Vinyl-LP-2573298_large.jpg?v=1647637575
Evil Urges Exclusive 2LP,My Morning Jacket,$21.99,//www.newburycomics.com/cdn/shop/products/My-Morning-Jacket-Evil-Urges-Exclusive-Color-Vinyl-2LP-2517210_81a1ec86-e5fc-44aa-b9e0-eb48624faed0_large.jpg?v=1619616498
Live Forever Exclusive LP (Color),Lil Peep,$45.99,//www.newburycomics.com/cdn/shop/files/Lil-Peep-Live-Forever-Exclusive-Color-Vinyl-LP-2667750_large.jpg?v=1701365986
It Still Moves Exclusive 2LP,My Morning Jacket,$21.99,//www.newburycomics.com/cdn/shop/products/My-Morning-Jacket-It-Still-Moves-Exclusive-Color-Vinyl-2LP-2517211_3eb3c36b-100e-4d81-b499-b3107392f114_large.jpg?v=1619616523
Tonic Immobility Exclusive LP,Tomahawk,$15.99,//www.newburycomics.com/cdn/shop/products/Tomahawk-Tonic-Immobility-Exclusive-Color-Vinyl-LP-2485043_large.jpg?v=1611175173
Carnavas Exclusive 2LP (Crystal),Silversun Pickups,$64.99,//www.newburycomics.com/cdn/shop/products/Silversun-Pickups-Carnavas-Exclusive-Color-Vinyl-2LP-2520553_large.jpg?v=1621980022
"No Good Left To Give: B-Sides Exclusive 7""",Movements,$11.99,//www.newburycomics.com/cdn/shop/products/Movements-No-Good-Left-to-Give-B-Sides-Exclusive-Color-Vinyl-LP-2532010_large.jpg?v=1631213804
Kick Out The Jams Exclusive LP,MC5,$19.99,//www.newburycomics.com/cdn/shop/products/MC5-Kick-Out-the-Jams-Exclusive-Color-Vinyl-LP-2510866_large.jpg?v=1626726515
Too Bad You're Beautiful Exclusive 2LP,From Autumn To Ashes,$27.99,//www.newburycomics.com/cdn/shop/products/From-Autumn-to-Ashes-Too-Bad-You_re-Beautiful-Exclusive-Color-Vinyl-2LP-2527531_large.jpg?v=1625522383
McCartney III Exclusive LP,Paul McCartney,$79.99,//www.newburycomics.com/cdn/shop/products/Paul-McCartney-McCartney-III-Exclusive-Color-Vinyl-LP-2467137_17b8088f-33cd-42da-92ca-b4334d9c3821_large.jpg?v=1603306169
Black Pumas Exclusive LP,Black Pumas,$39.99,//www.newburycomics.com/cdn/shop/products/Black-Pumas-Black-Pumas-Exclusive-Color-Vinyl-LP-2435375_large.jpg?v=1579902209
Singles Going Steady Exclusive LP,Buzzcocks,$45.99,//www.newburycomics.com/cdn/shop/products/Buzzcocks-Singles-Going-Steady-Exclusive-Color-Vinyl-LP-2527925_large.jpg?v=1628113623
Sound & Color Deluxe Edition Exclusive 2LP,Alabama Shakes,$24.99,//www.newburycomics.com/cdn/shop/products/Alabama-Shakes-Sound-and-Color-Exclusive-Color-Vinyl-2LP-2512339_large.jpg?v=1632853131
Pinata Exclusive 2LP (Quad),Freddie Gibbs / Madlib,$59.99,//www.newburycomics.com/cdn/shop/products/Freddie-Gibbs-Madlib-Pinata-Exclusive-Color-Vinyl-2-LP-2500408_large.jpg?v=1611608891
"Girls, Girls, Girls Exclusive LP",Motley Crue,$31.99,//www.newburycomics.com/cdn/shop/products/Motley-Crue-Girls-Girls-Girls-Exclusive-Color-Vinyl-LP-2535097_large.jpg?v=1652738484
Pinata Exclusive 2LP (Splat),Freddie Gibbs / Madlib,$69.99,//www.newburycomics.com/cdn/shop/products/Freddie-Gibbs-Madlib-Pinata-Exclusive-Color-Vinyl-2-LP-2500407_large.jpg?v=1611608860
Harry Styles LP,Harry Styles,$35.99,//www.newburycomics.com/cdn/shop/products/Harry-Styles-Harry-Styles-LP-2259198_large.jpg?v=1494529154
Infest The Rats' Nest Exclusive LP,King Gizzard And The Lizard Wizard,$84.99,//www.newburycomics.com/cdn/shop/products/King-Gizzard-and-the-Lizard-Wizard-Infest-the-Rats-Nest-Exclusive-Color-Vinyl-LP-2504011_large.jpg?v=1616014269
Soundtrack - Her Exclusive LP,Arcade Fire & Owen Pallett,$24.99,//www.newburycomics.com/cdn/shop/products/Arcade-Fire-Owen-Pallett-Her-Soundtrack-Exclusive-Color-Vinyl-LP-2504193_large.jpg?v=1613065245
Wildflower Exclusive 2 LP,The Avalanches,$64.99,//www.newburycomics.com/cdn/shop/products/The-Avalanches-Wildflower-2LP-Vinyl-Exclusive-Cover-2193469_large.jpg?v=1464875126
CTRL 2 LP (Color),SZA,$31.99,//www.newburycomics.com/cdn/shop/products/SZA-CTRL-Vinyl-Color-2LP-2295154_large.jpg?v=1519943221
A Charlie Brown Christmas Exclusive Green Swirl LP,Vince Guaraldi Trio,$29.99,//www.newburycomics.com/cdn/shop/products/Vince-Guaraldi-A-Charlie-Brown-Christmas-Exclusive-Color-Vinyl-LP-2546279_large.jpg?v=1633981220
Soundtrack - Belle Exclusive 2LP (Peggy Sue),Various Artists,$39.99,//www.newburycomics.com/cdn/shop/products/Various-Artists-Belle-Soundtrack-Exclusive-Color-Vinyl-2LP-2577015_large.jpg?v=1652386165
Goo Exclusive LP,Sonic Youth,$94.99,//www.newburycomics.com/cdn/shop/products/Sonic-Youth-Goo-Exclusive-Vinyl-LP-2150717_large.jpg?v=1456503240
Odessey And Oracle Exclusive LP,The Zombies,$99.99,//www.newburycomics.com/cdn/shop/products/The-Zombies-Odessey-and-Oracle-Exclusive-Vinyl-LP-2312625_large.jpg?v=1526508681
Devotion Exclusive LP,Beach House,$33.99,//www.newburycomics.com/cdn/shop/products/Beach-House-Devotion-Exclusive-Color-Vinyl-LP-2578645_large.jpg?v=1660001145
Bad Brains Exclusive LP (Dots),Bad Brains,$33.99,//www.newburycomics.com/cdn/shop/products/Bad-Brains-Bad-Brains-Exclusive-Color-Vinyl-LP-2509048_large.jpg?v=1615840498
Jagged Little Pill Exclusive LP,Alanis Morissette,$214.99,//www.newburycomics.com/cdn/shop/products/Alanis-Morisette-Jagged-Little-Pill-Exclusive-Color-Vinyl-LP-2190301_large.jpg?v=1472140790
Still Searching Exclusive LP,Senses Fail,$23.99,//www.newburycomics.com/cdn/shop/products/Senses-Fail-Still-Searching-Exclusive-Color-Vinyl-2LP-2594142_large.jpg?v=1661459735
Pang Exclusive LP,Caroline Polachek,$59.99,//www.newburycomics.com/cdn/shop/products/Caroline-Polachek-Pang-Exclusive-Color-Vinyl-LP-2556233_large.jpg?v=1647462995
Lost Themes III: Alive After Death Exclusive LP,John Carpenter,$19.99,//www.newburycomics.com/cdn/shop/products/John-Carpenter-Lost-Themes-III-Exclusive-Color-Vinyl-LP-2467728_large.jpg?v=1603737090
Moosebumps: An Exploration Into Modern Day Horripilation Exclusive 2 LP,Dr. Octagon,$44.99,//www.newburycomics.com/cdn/shop/products/Dr-Octagon-Moosebumps-An-Exploration-Into-Modern-Day-Horripilation-Exclusive-Vinyl-2LP-2311156_large.jpg?v=1518642317
Good Mourning Exclusive 2LP,Alkaline Trio,$34.99,//www.newburycomics.com/cdn/shop/files/Alkaline-Trio-Good-Mourning-Exclusive-Color-Vinyl-2LP-2635558_0838b3cd-2a70-4414-bd9f-1973e9f0909f_large.jpg?v=1682971038
Aim And Ignite Exclusive 2LP,Fun.,$31.99,//www.newburycomics.com/cdn/shop/products/Fun-Aim-and-Ignite-Exclusive-Color-Vinyl-LP-2624927_large.jpg?v=1678816075
Soundtrack - Evangelion: Finally Exclusive 2LP (Unit 01),Various Artists,$119.99,//www.newburycomics.com/cdn/shop/products/Soundtrack-Evangelion-Finally-Exclusive-Color-Vinyl-2-LP-2471499_101c80c7-84f1-488e-8d65-751161e02cef_large.jpg?v=1607102925
Give Up Exclusive LP (Blue),The Postal Service,$129.99,//www.newburycomics.com/cdn/shop/products/The-Postal-Service-Give-Up-Exclusive-Color-Vinyl-LP-2191522_large.jpg?v=1467043123
Stay What You Are Exclusive 2LP,Saves The Day,$44.99,//www.newburycomics.com/cdn/shop/products/Saves-the-Day-Stay-What-Your-Are-Exclusive-Color-Vinyl-LP-2600843_large.jpg?v=1662663080
Crimson Exclusive 2LP,Alkaline Trio,$29.99,//www.newburycomics.com/cdn/shop/files/Alkaline-Trio-Crimson-Exclusive-Color-Vinyl-2LP-2635557_6de3a219-d02a-4dcf-9dd9-dae7ef5e6e26_large.jpg?v=1682971010
Impera Exclusive LP (Smoke),Ghost,$49.99,//www.newburycomics.com/cdn/shop/products/Ghost-Impera-Exclusive-Color-Vinyl-LP-2561660_large.jpg?v=1642619578
Mutilator Defeated At Last Exclusive LP (Pinwheel),Thee Oh Sees,$44.99,//www.newburycomics.com/cdn/shop/products/Thee-Oh-Sees-Mutilator-Defeated-At-Last-Exclusive-Color-Vinyl-LP-2503530_large.jpg?v=1612824801
To Only A Few At First Exclusive LP With Autographed Print,Royal Coda,$19.99,//www.newburycomics.com/cdn/shop/products/Royal-Coda-To-Only-a-Few-At-First-Exclusive-Color-Vinyl-LP-2589044_large.jpg?v=1657065848
Terminal Velocity Exclusive 2LP (With Autographed Postcard & Custom Guitar Pick),John Petrucci,$31.99,//www.newburycomics.com/cdn/shop/products/John-Petrucci-Terminal-Velocity-Exclusive-Color-Vinyl-2-LP-2464756_large.jpg?v=1602089290
Orc Exclusive 2LP,Oh Sees,$69.99,//www.newburycomics.com/cdn/shop/products/Oh-Sees-Orc-Exclusive-Color-Vinyl-2LP-2503532_large.jpg?v=1612825288
Cats Under The Stars Exclusive LP,Jerry Garcia Band,$24.99,//www.newburycomics.com/cdn/shop/products/Jerry-Garcia-Band-Cats-Under-the-Stars-Exclsusive-Color-Vinyl-LP-2607998_large.jpg?v=1671477871
The Dream Walker Exclusive LP,Angels & Airwaves,$25.99,//www.newburycomics.com/cdn/shop/products/Angels-and-Airwaves-The-Dream-Walker-Exclusive-Color-Vinyl-LP-2604549_large.jpg?v=1666902152
Fun House Exclusive LP,The Stooges,$59.99,//www.newburycomics.com/cdn/shop/products/The-Stooges-Funhouse-2090106_large.jpeg?v=1440532690
Beggars Exclusive LP,Thrice,$17.99,//www.newburycomics.com/cdn/shop/products/Thrice-Beggars-Exclusive-Color-Vinyl-2LP-2554160_f71fe139-5407-4a91-b85b-9ce87cc8ca7b_large.jpg?v=1639088462
Garcia Exclusive LP,Jerry Garcia,$74.99,//www.newburycomics.com/cdn/shop/products/Jerry-Garcia-Garcia-Exclusive-Color-Vinyl-LP-2525448_large.jpg?v=1630955952
New Moon Exclusive 2LP (Pinwheel),Elliott Smith,$29.99,//www.newburycomics.com/cdn/shop/products/Elliott-Smith-New-Moon-Exclusive-Color-Vinyl-2LP-2514607_large.jpg?v=1619036009
Floating Coffin Exclusive LP (Bloodshot),Thee Oh Sees,$44.99,//www.newburycomics.com/cdn/shop/products/Thee-Oh-Sees-Floating-Coffin-Exclusive-Color-Vinyl-LP-2503529_large.jpg?v=1612824714
Fillmore East February 1970 Exclusive 2LP,Allman Brothers,$74.99,//www.newburycomics.com/cdn/shop/products/The-Allman-Brothers-Band-Fillmore-East-February-1970-Exclusive-Color-Vinyl-LP-2413042_large.jpg?v=1567025804
Let It Enfold You Exclusive LP,Senses Fail,$59.99,//www.newburycomics.com/cdn/shop/products/Senses-Fail-Let-It-Enfold-You-Exclusive-Color-Vinyl-LP-2543843_large.jpg?v=1632832190
King Of The Beach Exclusive LP,Wavves,$44.99,//www.newburycomics.com/cdn/shop/products/Wavves-King_of_the_Beach-LP-Vinyl-2107303_large.jpg?v=1441306893
Either/Or Expanded Edition Exclusive 2LP (Pinwheel),Elliott Smith,$129.99,//www.newburycomics.com/cdn/shop/products/Elliott-Smith-Either-Or-Expanded-Edition-Exclusive-Color-Vinyl-2LP-2368934_large.jpg?v=1547591034
Shout At The Devil Exclusive LP,Motley Crue,$49.99,//www.newburycomics.com/cdn/shop/products/Motley-Crue-Shout-at-the-Devil-Exclusive-Color-Vinyl-LP-2535093_large.jpg?v=1648668960
Soundtrack - Sable Exclusive 2LP,Japanese Breakfast,$19.99,//www.newburycomics.com/cdn/shop/products/Japanese-Breakfast-Sable-Exclusive-Color-Vinyl-2LP-2537254_large.jpg?v=1629998810
"American University Washington, D.C. (12/13/70) Exclusive 2LP",Allman Brothers,$35.99,//www.newburycomics.com/cdn/shop/products/Allman-Brothers-American-University-1970-Exclusive-Color-Vinyl-LP-2393428_large.jpg?v=1559684530
The Unraveling Of PUPTHEBAND Exclusive LP,PUP,$15.99,//www.newburycomics.com/cdn/shop/products/Pup-The-Unraveling-of-Pup-the-Band-Exclusive-Color-Vinyl-LP-2559501_large.jpg?v=1642454190
Too Fast For Love Exclusive LP (Ice),Motley Crue,$39.99,//www.newburycomics.com/cdn/shop/products/Motley-Crue-Too-Fast-For-Love-Exclusive-Color-Vinyl-LP-2535096_large.jpg?v=1636493341
Green Naugahyde Exclusive 2LP,Primus,$21.99,//www.newburycomics.com/cdn/shop/products/Primus-Green-Naughahyde-Exclusive-Color-Vinyl-LP-2545841_large.jpg?v=1632168271
Let's Go Exclusive LP,Rancid,$24.99,//www.newburycomics.com/cdn/shop/products/Rancid-Lets-Go-Exclusive-Color-Vinyl-LP-2535126_large.jpg?v=1658955818
Carnavas Exclusive 2LP (Yellow),Silversun Pickups,$33.99,//www.newburycomics.com/cdn/shop/products/Silversun-Pickups-Carnavas-Exclusive-Color-Vinyl-2LP-2613276_large.jpg?v=1673904630
Major/Minor Exclusive 2LP,Thrice,$21.99,//www.newburycomics.com/cdn/shop/products/Thrice-Major-Minor-Exclusive-Color-Vinyl-2LP-2582967_large.jpg?v=1654203643
Copper Blue / Beaster Exclusive 2 LP,Sugar,$59.99,//www.newburycomics.com/cdn/shop/products/Sugar-Copper-Blue-Beaster-2LP-Exclusive-Vinyl-2155440_large.jpeg?v=1454433722
Either/Or Exclusive LP,Elliott Smith,$44.99,//www.newburycomics.com/cdn/shop/products/Elliott-Smith-Either-Or-Exclusive-Color-Vinyl-LP-2619931_large.jpg?v=1675712389
I Am The Movie Exclusive LP,Motion City Soundtrack,$49.99,//www.newburycomics.com/cdn/shop/products/Motion-City-Soundtrack-I-Am-The-Movie-Exclusive-Color-Vinyl-LP-2536473_large.jpg?v=1660926908
Happiness Exclusive LP,Dance Gavin Dance,$39.99,//www.newburycomics.com/cdn/shop/products/Dance-Gavin-Dance-Happiness-Exclusive-Color-Vinyl-LP-2620729_large.jpg?v=1675369081
Live From A&R Studios 8/26/71 Exclusive 2 LP,Allman Brothers,$44.99,//www.newburycomics.com/cdn/shop/products/Allman-Brothers-Live-from-A-and-R-Studios-8-26-1971-2-LP-Exclusive-Color-Vinyl-2218717_large.jpg?v=1472846066
Castaways And Cutouts Exclusive LP,The Decemberists,$29.99,//www.newburycomics.com/cdn/shop/products/The-Decemberists-Castaways-and-Cutouts-Exclusive-Color-Vinyl-LP-2534855_large.jpg?v=1628790137
Garcia (Compliments) Exclusive LP,Jerry Garcia,$19.99,//www.newburycomics.com/cdn/shop/products/Jerry-Garcia-Garcia-Compliments-Exclusive-Color-Vinyl-LP-2607999_large.jpg?v=1672262320
Sixteen Stone Exclusive 2LP,Bush,$99.99,//www.newburycomics.com/cdn/shop/products/Bush-Sixteen-Stone-Exclusive-Color-Vinyl-2LP-2511155_large.jpg?v=1617658009
American Beauty Exclusive LP,Grateful Dead,$79.99,//www.newburycomics.com/cdn/shop/products/Grateful-Dead-American-Beauty-Exclusive-Vinyl-LP-2337419_large.jpg?v=1537281660
Roman Candle Exclusive LP (Clear),Elliott Smith,$59.99,//www.newburycomics.com/cdn/shop/products/Elliott-Smith-Roman-Candle-Exclusive-Color-Vinyl-LP-2452709_large.jpg?v=1595271039
12 Memories Exclusive LP,Travis,$11.99,//www.newburycomics.com/cdn/shop/products/Travis-12-Memories-Exclusive-Color-Vinyl-LP-2526851_large.jpg?v=1623868885
Soundtrack - Blue Velvet Exclusive LP,Angelo Badalamenti,$49.99,//www.newburycomics.com/cdn/shop/products/Various-Artists-Blue-Velvet-Soundtrack-LP-Vinyl-2131238_large.jpeg?v=1447699103
Tree City Sessions 2 Exclusive 2LP,Dance Gavin Dance,$49.99,//www.newburycomics.com/cdn/shop/products/Dance-Gavin-Dance-Tree-City-Sessions-2-Exclusive-Color-Vinyl-2LP-2508889_large.jpg?v=1614802838
To Be Everywhere Is To Be Nowhere Exclusive LP,Thrice,$24.99,//www.newburycomics.com/cdn/shop/products/Thrice-To-Be-Everywhere-Is-To-Be-Nowhere-Exclusive-Color-Vinyl-LP-2528416_large.jpg?v=1626902956
Cease To Begin Exclusive LP,Band Of Horses,$99.99,//www.newburycomics.com/cdn/shop/products/Band-of-Horses-Cease-to-Begin-Exclusive-Color-Vinyl-LP-2242404_large.jpg?v=1487709830
Beat The Devil's Tattoo Exclusive 2LP,Black Rebel Motorcycle Club,$19.99,//www.newburycomics.com/cdn/shop/products/Black-Rebel-Motocycle-Club-Beat-the-Devils-Tattoo-Exclusive-Color-Vinyl-2LP-2553709_large.jpg?v=1638510634
Suicidal Tendencies Exclusive LP,Suicidal Tendencies,$27.99,//www.newburycomics.com/cdn/shop/products/Suicidal-Tendencies-Suicidal-Tendencies-Exclusive-Color-Vinyl-LP-2532719_large.jpg?v=1628790115
The Lion's Roar Exclusive LP,First Aid Kit,$74.99,//www.newburycomics.com/cdn/shop/products/First-Aid-Kit-The-Lions-Roar-Exclusive-Color-Vinyl-LP-2519831_large.jpg?v=1621894929
Mule Variations Exclusive 2 LP,Tom Waits,$149.99,//www.newburycomics.com/cdn/shop/products/Tom-Waits-Mule-Variations-2LP-Vinyl-Exclusive-2302468_large.jpg?v=1514995183
Another One Exclusive LP,Mac DeMarco,$44.99,//www.newburycomics.com/cdn/shop/products/Mac-DeMarco-Another-One-Exclusive-Color-Vinyl-LP-2509897_large.jpg?v=1617301729
An Awesome Wave Exclusive LP,Alt-J,$169.99,//www.newburycomics.com/cdn/shop/products/Alt-J-An-Awesome-Wave-Exclusive-Color-Vinyl-LP-2198811_large.jpg?v=1470431585
Soundtrack - Singles Exclusive 2 LP,Various Artists,$159.99,//www.newburycomics.com/cdn/shop/products/Various-Artists-Singles-Soundtrack-2LP-Vinyl-Exclusive-2256449_large.jpg?v=1491432281
Nightmare Exclusive 2LP (Split),Avenged Sevenfold,$79.99,//www.newburycomics.com/cdn/shop/products/Avenged-Sevenfold-Nightmare-Exclusive-Color-Vinyl-LP-2535106_large.jpg?v=1637099645
How Long Do You Think It's Gonna Last? Exclusive 2LP,Big Red Machine,$27.99,//www.newburycomics.com/cdn/shop/products/Big-Red-Machine-How-Long-Do-You-Think-It_s-Gonna-Last-Exclusive-Color-Vinyl-LP-2550198_large.jpg?v=1635266037
Life Is Not A Waiting Room Exclusive 2LP,Senses Fail,$24.99,//www.newburycomics.com/cdn/shop/products/Senses-Fail-Life-Is-Not-a-Waiting-Room-Exclusive-Color-Vinyl-LP-2606595_large.jpg?v=1665090223
The Gray Race Exclusive LP,Bad Religion,$19.99,//www.newburycomics.com/cdn/shop/products/Bad-Religion-Gray-Race-Exclusive-Color-Vinyl-LP-2536479_large.jpg?v=1657142820
Live In San Francisco '16 Exclusive 2LP,King Gizzard And The Lizard Wizard,$49.99,//www.newburycomics.com/cdn/shop/products/King-Gizzard-And-the-Lizard-Wizard-Live-in-San-Francisco-16-Exclusive-Color-Vinyl-LP-2467106_large.jpg?v=1603237256
Specter At The Feast Exclusive 2LP,Black Rebel Motorcycle Club,$15.99,//www.newburycomics.com/cdn/shop/products/Black-Rebel-Motocycle-Club-Specter-at-the-Feast-Exclusive-Color-Vinyl-2LP-2553710_large.jpg?v=1638510650
Give Up Exclusive LP,The Postal Service,$149.99,//www.newburycomics.com/cdn/shop/products/Postal-Service-Give-Up-Exclusive-Color-Vinyl-LP-2403150_large.jpg?v=1565035573
"The Boy With No Name Exclusive LP+7""",Travis,$15.99,//www.newburycomics.com/cdn/shop/products/Travis-The-Boy-with-No-Name-Exclusive-Color-Vinyl-LP-2516906_large.jpg?v=1618865225
Soundtrack - Halloween Kills Exclusive LP,John Carpenter,$29.99,//www.newburycomics.com/cdn/shop/products/John-Carpenter-Halloween-Kills-Exclusive-Color-Vinyl-LP-2535752_large.jpg?v=1628876118
Meat Puppets II Exclusive LP,Meat Puppets,$39.99,//www.newburycomics.com/cdn/shop/products/Meat-Puppets-Meat-Puppets-II-Exclusive-Color-Vinyl-LP-2485153_large.jpg?v=1615240329
Deltron 3030 Exclusive 2LP (Turbulence),Deltron 3030,$64.99,//www.newburycomics.com/cdn/shop/products/Deltron-3030-Deltron-3030-Exclusive-Color-Vinyl-LP-2510853_large.jpg?v=1616681167
American Football Exclusive LP (Clear),American Football,$74.99,//www.newburycomics.com/cdn/shop/products/American-Football-American-Football-Exclusive-Color-Vinyl-LP-2514001_large.jpg?v=1642454164
Generator Exclusive LP,Bad Religion,$19.99,//www.newburycomics.com/cdn/shop/products/Bad-Religion-Generator-Exclusive-Color-Vinyl-LP-2563334_large.jpg?v=1654882900
No Heroes Exclusive LP (Splatter),Converge,$17.99,//www.newburycomics.com/cdn/shop/products/Converge-No-Heroes-Exclusive-Color-Vinyl-LP-2532734_large.jpg?v=1629744320
An Odd Entrances Exclusive LP,Thee Oh Sees,$19.99,//www.newburycomics.com/cdn/shop/products/Thee-Oh-Sees-An-Odd-Entrance-Exclusive-Color-Vinyl-LP-2532060_large.jpg?v=1628539106
Anything In Return Exclusive 2LP,Toro Y Moi,$29.99,//www.newburycomics.com/cdn/shop/products/Toro-Y-Moi-Anything-in-Return-Exclusive-Color-Vinyl-LP-2578649_large.jpg?v=1660712120
Marquee Moon Exclusive LP,Television,$99.99,//www.newburycomics.com/cdn/shop/products/Television-Marquee-Moon-LP-Vinyl-2090107_large.jpeg?v=1437497152
ATliens Exclusive 2 LP,Outkast,$114.99,//www.newburycomics.com/cdn/shop/products/Outkast-Atliens-2LP-Vinyl-Exclusive-2145339_large.jpeg?v=1457380566
Instant Gratification Exclusive LP,Dance Gavin Dance,$39.99,//www.newburycomics.com/cdn/shop/products/Dance-Gavin-Dance-Instant-Gratification-Exclusive-Color-Vinyl-LP-2620879_large.jpg?v=1675369088
Too Fast For Love Exclusive LP,Motley Crue,$37.99,//www.newburycomics.com/cdn/shop/products/Motley-Crue-Too-Fast-For-Love-Exclusive-Color-Vinyl-LP-2535095_large.jpg?v=1655920694
Watch Out! Exclusive 2LP,Alexisonfire,$99.99,//www.newburycomics.com/cdn/shop/products/Alexisonfire-Watch-Out-Exclusive-Color-Vinyl-LP-2549218_large.jpg?v=1635956318
Soundtrack - Westworld Season 1 Exclusive LP,Ramin Djawadi,$159.99,//www.newburycomics.com/cdn/shop/products/Soundtrack-Westworld-Selections-from-the-HBO-Series-Season-1-Exclusive-Color-Vinyl-LP-2242221_83096cb1-c0c0-470f-8e7e-9bf8750f30c4_large.jpg?v=1491854984
Lonesome Dreams Exclusive LP (Smoke),Lord Huron,$99.99,//www.newburycomics.com/cdn/shop/products/Lord-Huron-Lonesome-Dreams-Exclusive-Color-Vinyl-LP-2388375_large.jpg?v=1557176891
Fire Of Love Exclusive 2LP,The Gun Club,$25.99,//www.newburycomics.com/cdn/shop/products/Gun-Club-Fire-of-Love-Exclusive-Color-Vinyl-2LP-2528611_large.jpg?v=1626727461
Soundtrack - Evangelion: Finally Exclusive 2LP (LCL Sea),Various Artists,$47.99,//www.newburycomics.com/cdn/shop/products/Soundtrack-Evangelion-Finally-Exclusive-Color-Vinyl-2LP-2611347_large.jpg?v=1667845459
Labor Days Exclusive 2LP,Aesop Rock,$19.99,//www.newburycomics.com/cdn/shop/products/Aesop-Rock-Labor-Days-Exclusive-Color-Vinyl-2LP-2532580_large.jpg?v=1637004894
Soundtrack - FLCL Season 1 Vol. 3 Exclusive 2LP,The Pillows,$31.99,//www.newburycomics.com/cdn/shop/products/The-Pillows-FLCL-Season-1-Volume-3-Exclusive-Color-Vinyl-2LP-2583181_large.jpg?v=1654203608
Alvvays Exclusive LP,Alvvays,$79.99,//www.newburycomics.com/cdn/shop/products/Alvvays-Alvvays-Exclusive-Color-Vinyl-LP-2513991_large.jpg?v=1627501190
